,"Найменування об’єкта (заходу), його місцезнаходження",Обсяг субвенції тис. Гривень
Полтавська область,"Реконструкція спального корпусу Миргородської спеціальної загальноосвітньої школи-інтернату I-III ступеня Полтавської обласної ради (Миргородська спецшкола-інтернат), м. Миргород","1436,4"
Полтавська область,Модернізація системи опалення та термомодернізація будівлі Миргородської загальноосвітньої школи № 9 (капітальний ремонт),"752,8"
Полтавська область,"Реконструкція каналізаційного колектора на ділянках: КНС № 1 - ТОВ “Зіньківський інкубатор”, КНС № 3 - існуючі поля фільтрації, м. Зіньків","3011,5"
Полтавська область,"Будівництво каналізаційної насосної станції з напірним каналізаційним колектором діаметром 100 мм та довжиною м від масиву Нафтовиків до діючої КНС, смт Опішня Зіньківського району (II етап)","2878,6"
Полтавська область,"Реконструкція спортивного корпусу із спортивним залом із улаштуванням скатної покрівлі Зіньківської районної організації ВФСТ “Колос” АПК України по вул. Першотравневій, 4, м. Зіньків (стадія РП)","868,1"
Полтавська область,"Реконструкція будівлі під центр муніципальних послуг по вул. Гагаріна, 14в, у м. Кременчуці Полтавської області",9000
Полтавська область,"Будівництво дитячого садка-школи в мікрорайоні 278, забезпечення введення в експлуатацію та функціонування навчально-виховного комплексу № 15, м. Кременчук",1500
Полтавська область,"Реконструкція другого поверху корпусу інфекційного відділення другої міської лікарні під хоспіс з прибудовою ліфта по вул. Манагарова, 7, м. Кременчук",1500
Полтавська область,"Реконструкція систем опалення Чутівської загальноосвітньої школи I-III ступеня по вул. Центральній, 2, смт Чутове Чутівського району","1197,2"
Полтавська область,"Утеплення приміщення, заміна вікон у загальноосвітній школі I-III ступеня по вул. Шкільній, 12, с. Филенкове Чутівського району","997,6"
Полтавська область,"Будівництво дитячих майданчиків, смт Чутове та с. Скороходове Чутівського району","99,8"
Полтавська область,"Реконструкція системи опалення, заміна вікон Карлівської загальноосвітньої школи I-III ступеня по вул. Полтавський шлях, 64, м. Карлівка Карлівського району","1496,5"
Полтавська область,"Реконструкція частини першого поверху житлового будинку Карлівської амбулаторії сімейного типу по вул. Гурамішвіллі, 16, м. Карлівка Карлівського району","997,6"
Полтавська область,"Будівництво дитячих майданчиків, м. Карлівка","149,6"
Полтавська область,"Реконструкція системи опалення та заміна вікон дитячого садочка “Сонечко” Новосанжарської селищної ради по вул. Незалежності, 43/7","997,6"
Полтавська область,"Реконструкція дорожнього покриття по вулицях Пролетарській, Першотравневій, Шевченка та інших частинах смт Нові Санжари, смт Нові Санжари Новосанжарського району","548,7"
Полтавська область,"Реконструкція системи опалення Новосанжарського навчально-виховного комплексу Новосанжарської районної ради, смт Нові Санжари","997,6"
Полтавська область,"Будівництво дитячих майданчиків, смт Нові Санжари та с. Нехвороща Новосанжарського району","149,6"
Полтавська область,"Реконструкція покрівлі та заміна вікон Кобеляцького навчально-виховного комплексу № 1 по вул. Шкільній, 1/28, м. Кобеляки","1396,7"
Полтавська область,"Будівництво дитячих майданчиків, Кобеляцький район","149,6"
Полтавська область,"Реконструкція системи опалення та заміна вікон Новогалещинської загальноосвітньої школи I-III ступеня, по вул. Шкільній, 1, смт Нова Галещина Козельщинського району","548,7"
Полтавська область,"Реконструкція системи опалення та заміна вікон Бреусівської загальноосвітньої школи I-III ступеня по вул. Олеся Гончара, 62, Козельщинського району","548,7"
Полтавська область,"Будівництво дитячих майданчиків, с. Бреусівка та с. Нова Галещина Козельщинського району","149,6"
Полтавська область,"Реконструкція систем опалення Машівської спеціалізованої школи I-III ступеня по вул. Жовтневій, 9а, смт Машівка","1396,7"
Полтавська область,"Будівництво дитячих майданчиків, смт Машівка та с. Кошманівка Машівського району","149,6"
Полтавська область,"Котелевська гімназія № 1 імені Ковпака С.А. Котелевського району, ремонт підлоги спортивного залу","108,8"
Полтавська область,"Котелевська загальноосвітня школа № 2 Котелевського району, заміна вікон та вхідних дверей","667,6"
Полтавська область,"Великорублівська загальноосвітня школа I-III ступеня Котелевського району, заміна вікон та вхідних дверей","1493,4"
Полтавська область,"Більська загальноосвітня школа I-III ступеня Котелевського району, заміна вікон","336,3"
Полтавська область,"Великорублівський дошкільний навчальний заклад Котелевського району, капітальний ремонт приміщення","59,4"
Полтавська область,Закупівля меблів для шкільних та дошкільних закладів Полтавського району,"650,3"
Полтавська область,"Калашниківський навчально-виховний комплекс Полтавського району, капітальний ремонт","94,9"
Полтавська область,Придбання мультимедійного проектора EPSON EB-WO4 та екрана для Тростянецького сільського будинку культури,"18,2"
Полтавська область,"Придбання рентгенологічного обладнання для травматологічного відділення Першої міської клінічної лікарні, м. Полтава","3958,2"
Полтавська область,"Божківський навчально-виховний комплекс Полтавського району, капітальний ремонт приміщень","328,8"
Полтавська область,"Полтавська районна бібліотека, придбання мультимедійного проектора EPSON EB-WO4 та екрана","18,2"
Полтавська область,"Дошкільний навчальний заклад (ясла-садок) № 56 “Вербичка”, м. Полтава, закупівля двокамерного холодильника","24,7"
Полтавська область,"Дошкільний навчальний заклад (ясла-садок) № 13 “Сонечко”, м. Полтава, закупівля шестиконфоркової електроплити з духовою шафою","14,9"
Полтавська область,"Дошкільний навчальний заклад (ясла-садок) № 65 “Школа здоров’я”, м. Полтава, закупівля двокамерного холодильника","24,7"
Полтавська область,"Капітальний ремонт дошкільного навчального закладу “Веселка”, м. Гребінка Полтавської області (заміна та встановлення вікон)","449,9"
Полтавська область,"Капітальний ремонт покрівлі будівлі Гребінківської загальноосвітньої школи I-III ступеня № 1, м. Гребінка Гребінківського району","514,4"
Полтавська область,"Реконструкція сільського будинку культури, с. Сербинівка Гребінківського району","709,7"
Полтавська область,"Будівництво водогону по вулицях Заозерній, Гагаріна та Петровський Хутір, с. Погарщина Лохвицького району","712,5"
Полтавська область,"Реконструкція покрівлі СБК с. Піски, вул. Центральна, 48, Лохвицького району","832,6"
Полтавська область,"Реконструкція покрівлі СК с. Млини, вул. Роменська, Лохвицького району","332,5"
Полтавська область,"Капітальний ремонт спортивного залу Токарівського СБК с. Токарі, вул. імені Г.І. Андрусенка, 11, Лохвицького району","356,3"
Полтавська область,"Капітальний ремонт гімназії № 1 по вул. Дружби, 10, м. Лохвиця Лохвицького району (заміна вікон)","692,7"
Полтавська область,"Капітальний ремонт загальноосвітньої школи I-II ступеня по вул. Молодіжній, 30, с. Білогорілка Лохвицького району","118,8"
Полтавська область,"Капітальний ремонт загальноосвітньої школи I-III ступеня, с. Сенча по вул. Лесі Українки, 2а, Лохвицького району","269,1"
Полтавська область,"Реконструкція басейну Пирятинського ліцею по вул. Визволення, 2а, в м. Пирятин Пирятинського району","1504,1"
Полтавська область,"Реконструкція будівлі Березоворудської загальноосвітньої школи I-III ступеня (влаштування шатрового даху, теплова модернізація фасадів школи), с. Березова Рудка по вул. Луценка, 40, Пирятинського району","277,1"
Полтавська область,"Капітальний ремонт будівлі Великокручанської загальноосвітньої школи I-III ступеня с. Велика Круча по вул. Героїв Майдану, 110, Пирятинського району","126,6"
Полтавська область,"Реконструкція будівлі Вишневецької загальноосвітньої школи I-III ступеня (теплова модернізація фасадів школи та заміна вікон), с. Вишневе по вул. Миру, 10а, Пирятинського району",190
Полтавська область,"Реконструкція будівлі Прихідьківського сільського клубу (влаштування шатрового даху), с. Прихідьки по вул. Григорія Кисиля, 35, Пирятинського району","406,6"
Полтавська область,"Реконструкція Чорнухинської загальноосвітньої школи I-III ступенів імені Г.С. Сковороди, смт Чорнухи Чорнухинського району","1328,4"
Полтавська область,"Реконструкція системи газопостачання котельні під теплогенераторну дошкільного навчального закладу, “Берізка’’, смт Чорнухи Чорнухинського району",599
Полтавська область,Система освітлення в Центрі культури і дозвілля смт Чорнухи Чорнухинського району,"79,6"
Полтавська область,Реконструкція вуличної мережі водопостачання в с. Затурине Полтавського району Полтавської області,"1,556,952"
Полтавська область,Будівництво артезіанської свердловини для водопостачання господарсько-питних потреб населення с. Затурине Полтавського району Полтавської області,"1,128,274"
Полтавська область,Реконструкція вуличного освітлення в с. Кованчик Полтавського району Полтавської області,"310,012"
Полтавська область,Реконструкція вуличного освітлення в с. Куклинці Полтавського району Полтавської області,"82,579"
Полтавська область,Реконструкція вуличного освітлення в с. Миколаївка Полтавського району Полтавської області,"94,216"
Полтавська область,Реконструкція вуличного освітлення в с. Байрак Полтавського району Полтавської області,"160,035"
Полтавська область,Реконструкція вуличного освітлення в с. Мачухи Полтавського району Полтавської області,"45,456"
Полтавська область,"Гожулівський навчально-виховний комплекс Полтавської районної ради Полтавської області, заміна вікон","41,768"
Полтавська область,"Головачанський навчально-виховний комплекс Полтавської районної ради Полтавської області, заміна вікон","17,56"
Полтавська область,"Копилівський дошкільний навчальний заклад “Ялинка” Полтавський район, Полтавська область, заміна дверей","22,523"
Полтавська область,"Кротенківський навчально-виховний комплекс Полтавський район, Полтавська область, заміна вікон","19,044"
Полтавська область,"Куликівська загальноосвітня школа I-III ступенів Полтавської районної ради, Полтавської області, заміна вікон, дверей, ремонт стелі","35,124"
Полтавська область,"Нестеренківська загальноосвітня школа I ступеню Полтавський район, Полтавська область, заміна вікон","14,888"
Полтавська область,"Новоселівська загальноосвітня школа I-III ступенів Полтавський район, Полтавська область, заміна вікон","41,268"
Полтавська область,"Розсошенська гімназія Полтавської районної ради Полтавської області, заміна вікон","25,606"
Полтавська область,"Рунівщинський Дошкільний навчальний заклад “Малятко” Полтавський район, Полтавська область, заміна вікон","22,539"
Полтавська область,"Дошкільний підрозділ Степненського навчально-виховного комплексу Полтавської районної ради Полтавської області, заміна вікон, дверей","49,853"
Полтавська область,"Кіровський навчально-виховний комплекс Полтавської районної ради Полтавської області, заміна дверей","90,474"
Полтавська область,"Степненський навчально-виховний комплекс Полтавської районної ради Полтавської області, заміна дверей","31,906"
Полтавська область,"Судіївська загальноосвітня школа I-II ступенів Полтавської районної ради Полтавської області, заміна вікон","11,423"
Полтавська область,"Терешківська загальноосвітня школа I-III ступенів Полтавської районної ради Полтавської області, заміна вікон","23,599"
Полтавська область,"Полтавська загальноосвітня школа I-III ступенів № 11 Полтавської міської ради Полтавської області, закупівля інтерактивного комплексу","39,9"
Полтавська область,"Полтавська загальноосвітня школа I-III ступенів № 18 Полтавської міської ради Полтавської області, закупівля інтерактивного комплексу","39,9"
Полтавська область,"Полтавська загальноосвітня школа I-III ступенів № 24 Полтавської міської ради Полтавської області, закупівля інтерактивного комплексу","39,9"
Полтавська область,"Комунальний заклад “Полтавська гімназія № 32” Полтавської міської ради Полтавської області, закупівля інтерактивного комплексу","39,9"
Полтавська область,"Полтавська загальноосвітня школа I-III ступенів № 36 Полтавської міської ради Полтавської області, закупівля інтерактивного комплексу","39,9"
Полтавська область,"Полтавська загальноосвітня школа I-III ступенів № 40 Полтавської міської ради Полтавської області, закупівля інтерактивного комплексу","39,9"
Полтавська область,"Полтавська загальноосвітня школа I-III ступенів № 25 Полтавської міської ради Полтавської області, закупівля ноутбука",10
Полтавська область,"Полтавський дошкільний навчальний заклад (ясла-садок) № 46 “Бджілка”, закупівля пральної машини",21
Полтавська область,"Полтавський дошкільний навчальний заклад (ясла-садок) № 55 “Незабудка”, закупівля електром’ясорубки",14
Полтавська область,"Полтавський дошкільний навчальний заклад (ясла-садок) № 81 “Оленка”, закупівля холодильної шафи на 1000 літрів","25,1"
Полтавська область,"Полтавський дошкільний навчальний заклад № 82 Оленка, закупівля пральної машини",21
Полтавська область,"Полтавський дошкільний навчальний заклад (ясла-садок) № 7 “Теремок”, закупівля двокамерного холодильника","13,7"
Полтавська область,"Полтавський спеціалізований навчально-виховний комплекс № 26 “Перші кроки” Полтавської міської ради, закупівля телевізора не менше 43 дюйми","14,3"
Полтавська область,"Василівська загальноосвітня школа I-III ступенів Полтавської районної ради Полтавської області, заміна вікон","18,001"
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Сторожове, Чутівський район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Василівка, Чутівський район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Грякове, Чутівський район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Нова Кочубеївка, Чутівський район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Филенкове, Чутівський район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Вільхуватка, Чутівський район",150
Полтавська область,"Утеплення приміщення, заміна вікон у ЗОШ I-III ступенів, вул. Шкільна 12, с. Филенкове, Чутівський район",220
Полтавська область,"Реконструкція систем опалення Чутівської ЗОШ I-III ступенів, вул. Центральна, 2, смт Чутове, Чутівський район",280
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Клюсівка Новосанжарський район",200
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні по вул. Горбенка смт Нові Санжари, Новосанжарський район",50
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні по вул. 8-ого Березня, пров. Тракторному, пров. 8-ого Березня, пров. Підгірному, пров. Гористому, вул. Маджярянській смт Нові Санжари, Новосанжар",200
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні по вул. Соснова роща, пров. Соснова Роща, пров. Піщаний, вул. Піщана смт Нові Санжари, Новосанжарський район",200
Полтавська область,"Капітальний ремонт вуличного водогону по вул. Горбенка та пров. Будьонного смт Нові Санжари, Новосанжарський район",450
Полтавська область,"Капітальний ремонт вуличного водогону по вул. Вернадського, пр. Слюсарному смт Нові Санжари, Новосанжарський район",500
Полтавська область,"Реконструкція  опалення, та заміна вікон Новосанжарські дитячі ясла-садок № 1 “Сонечко”, вул. Незалежності 43/9 смт Нові Санжари, Новосанжарський район",350
Полтавська область,Реконструкція мережі вуличного освітлення в с. Стовбина Долина Новосанжарського району,150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Сухинівка, Кобеляцький район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Водолагівка, Кобеляцький район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Дрижина Гребля",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Іванівка, Кобеляцький район",200
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Попівка Карлівський район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Коржиха Карлівський район",150
Полтавська область,"Капітальний ремонт систем вуличного освітлення із заміною освітлювальних елементів (приладів) на світлодіодні, с. Мартинівка Карлівський район",150
Полтавська область,"Реконструкція частини першого поверху Карлівської амбулаторії сімейного типу, м. Карлівка, вул. Гурамішвіллі, 16",400
Полтавська область,"Капітальний ремонт по заміні вікон Полтавської спеціалізованої школи-інтернат № 1 I-III ступенів Полтавської обласної ради, м. Полтава, вул. Монастирська, 9а",546
Полтавська область,"Капітальний ремонт по заміні вікон Полтавської спеціалізованої школи-інтернат № 2 I-III ступенів Полтавської обласної ради, м. Полтава, вул. Першотравнева, 26",910
Полтавська область,"Капітальний ремонт по заміні вікон Полтавського обласного центру естетичного виховання учнівської молоді Полтавської обласної ради, м. Полтава, вул. Соборності, 67",260
Полтавська область,"Капітальний ремонт Полтавського обласного центру туризму і краєзнавства учнівської молоді (заміна вікон і дверей), м. Полтава, вул. Нечуя-Левицького, 4",195
Полтавська область,"Капітальний ремонт обласної клінічної лікарні відновного лікування та діагностики з обласними центрами планування сім’ї та репродукції людини, медичної генетики (заміна вікон), м. Полтава, вул. Шевченка, 10",1079
Полтавська область,"Капітальний ремонт обласного санаторію для дітей з порушенням опорно-рухового апарату по вулиці Садова 26 у місті Полтава (заміна вікон, балконних блоків, дверей)",1066
Полтавська область,"Капітальний ремонт глядацького залу Кременчуцького міського Будинку дитячої та юнацької творчості, м. Кременчук, вул. Миколи Залудяка, 14",1494
Полтавська область,"Заміна каналізаційної системи Кременчуцького міського Будинку дитячої та юнацької творчості, м. Кременчук, вул. Миколи Залудяка, 14",200
Полтавська область,"Капітальний ремонт спортивної зали Кременчуцького ліцею № 11, м. Кременчук, вул. Першотравнева, 53","1,211,474"
Полтавська область,"Капітальний ремонт операційного блоку КМП “Лікарня “Придніпровська”, м. Кременчук, провулок Павлівський, 1/4",1211
Полтавська область,"Капітальний ремонт системи опалення будівель територіального центру соціального обслуговування (надання соціальних послуг) Крюківського району департаменту соціального захисту населення та питань АТО, м. Кременчук, вул. Кузнєчна, 10/2","304,795"
Полтавська область,"Придбання 3-х стерилізаторів ГК-100-3М для Кременчуцької міської дитячої лікарні, м. Кременчук, вул. Павлова, 16","258,75"
Полтавська область,"Заміна вікон в Кременчуцькій міській дитячій лікарні, м. Кременчук, вул. Павлова, 16","119,981"
Полтавська область,"Придбання електричних плит енергозберігаючих для Централізованого харчоблоку і харчоблоку Кременчуцької міської дитячої лікарні, м. Кременчук, вул. Павлова, 16",200
Полтавська область,"Реконструкція будівлі КУ “Полтавського обласного центру екстреної медичної допомоги та медицини катастроф” з добудовою та надбудовою четвертого поверху по вул. Миколи Дмітрієва, 6, м. Полтава","4383,5"
Полтавська область,"Капітальний ремонт покрівлі хірургічного корпусу Полтавської обласної клінічної лікарні ім. М.В. Скліфосовського по вул. Шевченка, 23 в м. Полтава","1354,5"
Полтавська область,"Капітальний ремонт Полтавського обласного клінічного госпіталю для ветеранів війни по вул. Миколи Дмітрієва, 5 в м. Полтава (заміна вікон)",1322
Полтавська область,"Капітальний ремонт обласного клінічного онкологічного диспансеру по вул. Миколи Дмітрієва, 7а в м. Полтава (заміна вікон)",1450
Полтавська область,"Капітальний ремонт головного корпусу обласної клінічної психіатричної лікарні імені О.Ф. Мальцева по вул. Медична, 1 в м. Полтава (заміна вікон)",1490
Полтавська область,Енергозберігаючі заходи в дошкільному навчальному закладі “Веснянка” Гадяцької міської ради м. Гадяч,"906,94"
Полтавська область,Модернізація відділення стаціонарного догляду для постійного або тимчасового проживання громадян Пирятинського району в с. Вишневе із застосуванням енергозберігаючих технологій,735
Полтавська область,Впровадження інноваційних енергозберігаючих технологій в Лохвицькій центральній районній лікарні,1100
Полтавська область,Капітальний ремонт покрівлі Короваївської ЗОШ I-III ступенів № 1,"759,742"
Полтавська область,Енергозберігаючі заходи в Мокіївському навчально-виховному комплексі,200
Полтавська область,Реконструкція літературно-меморіального музею ім. Г.С. Сковороди,295
Полтавська область,"Реконструкція теплогенераторної з заміною котлів та вузла обліку в ДНЗ “Зірочка” за адресою: Садова, 46а в с. Ковалівка Полтавського району","833,848"
Полтавська область,"Спортивний майданчик, с. Ковалівка Полтавського району",190
Полтавська область,"Заміна вікон, Бричківський навчально-виховний комплекс, Полтавська районна рада, Полтавська область","40,947"
Полтавська область,"Придбання сміттєвих баків. Мачухівська сільська рада, Полтавського району",110
Полтавська область,"Заміна вікон, Валківська ЗОШ I-III ступенів, Полтавської районної ради, Полтавської області","22,431"
Полтавська область,"Заміна дверей, Супрунівський навчально-виховний комплекс Полтавської районної ради Полтавської області","32,905"
Полтавська область,"Заміна вікон, Василівська загальноосвітня школа I-III ступенів Полтавської районної ради Полтавської області","148,001"
Полтавська область,"Заміна вікон, Тахтаулівський навчально-виховний комплекс Полтавської районної ради Полтавської області","31,267"
Полтавська область,"Заміна дверей, Тростянецький сільський будинок культури, Полтавський район","31,107"
Полтавська область,"Заміна дверей, Черкасівський сільський будинок культури Полтавський район","12,86"
Полтавська область,"Котелевська гімназія № 1 імені С.А. Ковпака. Придбання нової огорожі навколо всього закладу, смт Котельва",210
Полтавська область,"Котелевська гімназія № 1 імені С.А. Ковпака придбання 2-х інтерактивних комплексів, смт Котельва",160
Полтавська область,"Котелевська ЗОШ № 2 I-III ст. Заміна вікон та вхідних дверей на нові енергозберігаючі, смт Котельва",500
Полтавська область,"Котелевська ЗОШ № 4 I-III ст. - інтерактивний комплекс, смт Котельва",80
Полтавська область,"Більська ЗОШ I-III ст. заміна дверей на енергозберігаючі, Котелевський район",300
Полтавська область,"Великорублівська ЗОШ I-III ст. інтерактивний комплекс, Котелевський район",80
Полтавська область,"ДНЗ “Пролісок” смт Котельва. Капітальний ремонт покрівлі приміщення, смт Котельва",200
Полтавська область,"Милорадівська ЗОШ I-III ступенів, заміна дверей на енергозберігаючі, Котелевський район",70
Полтавська область,"Монітор пацієнта ЮМ 300-15 (2 шт.), Полтавська центральна районна клінічна лікарня","199,6"
Полтавська область,"Дезінфектор ручний для фіброскопів OLYMPUS TD-20 в комплекті з шафою медичною бактерицидною ШМБ30-Е, Полтавська центральна районна клінічна лікарня",159
Полтавська область,"Апарат для 2-канальної електротерапії BTL-4825S PREMIUM 2-канальна електротерапія з розширеним діапазоном токів, 1-канальний ультразвук, Полтавська центральна районна клінічна лікарня","183,15"
Полтавська область,Степненський навчально-виховний комплекс Полтавської районної ради Полтавської області. Заміна вікон,"162,5"
Полтавська область,Гожулівський навчально-виховний комплекс Полтавської районної ради Полтавської області. Заміна вікон,39
Полтавська область,"Ватажківська загальноосвітня школа I ступеню Полтавський район, Полтавська область. Заміна вікон","58,5"
Полтавська область,"Судіївська загальноосвітня школа I-II ступенів Полтавський район, Полтавська область. Заміна вікон","175,5"
Полтавська область,Капітальний ремонт проїзної частини вулиці Полтавської в с. Дудникове Коломацької (Куликівської) сільської ради Полтавського району Полтавської області,"554,911"
Полтавська область,Капітальний ремонт проїзної частини вулиці Степової зі з’їздом до вул. Шкільної в с. Степанівка Коломацької (Куликівської) сільської ради Полтавського району Полтавської області,"391,251"
Полтавська область,"Реконструкція стадіону “Старт” по вул. Гоголя, 175 в м. Миргород",1300
Полтавська область,Придбання спеціалізованого санітарного автотранспорту для надання екстреної медичної допомоги мешканцям області,3700
