oblast,title,amount raw,amount clean,smd,smd_manual,smd_all
Київська область,"Капітальний ремонт будинку культури по вул. Леніна, 49 в с. Рудня-Димерська, Вишгородського району, Київської області"," $1,376,558.00 "," $1,376,558.00 ",96,,96
Київська область,Будівництво спортивного комплексу в НВК “Ліцей” “Дизайн-Освіта” ім. Павла Чубинського в місті Бориспіль," $5,000.00 "," $5,000,000.00 ",,98,98
Київська область,Будівництво артсвердловини для бюветного водозабезпечення мешканців с. Гоголів Броварського району Київської області," $514,702.00 "," $514,702.00 ",97,,97
Київська область,"Реконструкція вуличного освітлення в с. Красилівка Броварського району Київської області за адресами: вул. Горошкова, вул. Космонавтів, вул. Ладанська, вул. Гоголя, вул. Ковальська, вул. Садова, вул. Миру, пров. Мирний, вул. Дружби, вул. Лугова, пров. Луг"," $553,432.00 "," $553,432.00 ",97,,97
Київська область,Вуличне зовнішнє освітлення с. Плоске Броварського району Київської області," $735,884.00 "," $735,884.00 ",97,,97
Київська область,"Реконструкція системи газопостачання модульної котельні Пухівської ЗОШ I-III ступенів с. Пухівка, Броварського району, Київської області"," $262,362.00 "," $262,362.00 ",97,,97
Київська область,"Капітальний ремонт з заміною вікон в Лехнівській ЗОШ I-III ступенів по провулку Парковий, 1 в с. Лехнівка, Баришівського району, Київської області"," $280,882.00 "," $280,882.00 ",97,,97
Київська область,"Придбання цифрових лабораторій для Баришівської ЗОШ I-III ступенів ім. Зерова, для Морозівського НВК, для Лукашівського НВК, для Семенівського НВК Баришівського району Київської області"," $1,600.00 "," $1,600,000.00 ",97,,97
Київська область,Поліпшення матеріально-технічного забезпечення закладів охорони здоров’я первинної та вторинної ланки Баришівського району Київської області, $500.00 ," $500,000.00 ",97,,97
Київська область,Виготовлення проектно-кошторисної документації на реконструкцію будівлі дитячого садочка с. Дмитрівка Фастівського району, $190.00 ," $190,000.00 ",91,,91
Київська область,Придбання комп’ютерної техніки для ЗОШ I-III ступенів с. Мала Снітинка Фастівського району, $80.00 ," $80,000.00 ",91,,91
Київська область,Придбання комп’ютерної техніки для ЗОШ I-III ступенів с. Велика Снітинка Фастівського району, $80.00 ," $80,000.00 ",91,,91
Київська область,Капітальний ремонт дороги від вул. Мічуріна 12а до м. Вишневого у с. Крюківщині Києво-Святошинского району Київської області," $1,200.00 "," $1,200,000.00 ",,95,95
Київська область,"Капітальний ремонт тротуарів від вул. Балукова, 10 до вул. Червоноармійської у с. Крюківщині Києво-Святошинського району Київської області"," $1,120.00 "," $1,120,000.00 ",,95,95
Київська область,"Капітальний ремонт приміщень головного корпусу Фастівської центральної районної лікарні м. Фастів, вул. Л. Толстого, 24"," $1,499.00 "," $1,499,000.00 ",91,,91
Київська область,"Капітальний ремонт (заміна віконних блоків на металопластикові конструкції) будівлі за адресою: м. Фастів, вул. Л. Толстого, 24"," $971,857.00 "," $971,857.00 ",,91,91
Київська область,"Комп’ютерна техніка для Фастівської центральної районної лікарні м. Фастів, вул. Л. Толстого, 24"," $70,143.00 "," $70,143.00 ",91,,91
Київська область,"Виготовлення проектної документації: капітальний ремонт (санація) головного корпусу Фастівської центральної районної лікарні по вул. Л. Толстого, 17, м. Фастів, Київської області", $200.00 ," $200,000.00 ",91,,91
Київська область,Капітальний ремонт будівлі (заміна вікон і дверей) “Пищиківська загальноосвітня школа I-III ступенів” в с. Пищики Сквирського району Київської області," $1,200.00 "," $1,200,000.00 ",,91,91
Київська область,Капітальний ремонт дорожнього покриття по вул. Нова в с. Андріївка Макарівського району Київської області," $1,195,152.00 "," $1,195,152.00 ",91,,91
Київська область,"Капітальний ремонт дороги по вул. Жукова в с. Колонщина Макарівського району, Київської області"," $797,215.00 "," $797,215.00 ",91,,91
Київська область,"Капітальний ремонт дороги по вул. Шевченка в с. Ясногородка Макарівського району, Київської області"," $1,486.87 "," $1,486,870.00 ",91,,91
Київська область,Спортивний інвентар для ДЮШС при відділі з питань фізичної культури і спорту Фастівської РДА," $120,763.00 "," $120,763.00 ",91,,91
